Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Recreation,Press Releases,Recreation/Press-Releases/y8tr-23bj,Department of Parks and Recreation (DPR),Official New York City Department of Parks & Recreation Press Releases,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"press releases, parks, doitt, dpr, healthy living"
Housing & Development,NYCHA Housing,Housing-Development/NYCHA-Housing/uhpb-k92j,New York City Housing Authority (NYCHA),It contain the latest shape files for the NYCHA developments as of July 2011.,mgooden,http://data.cityofnewyork.us/api/users/epsr-rfp2,
Education,DYCD after-school programs: Beacon Satellite At NYCHA Programs,Education/DYCD-after-school-programs-Beacon-Satellite-At-NYC/pyif-r8qe,Department of Youth and Community Development (DYCD),"Facilities in New York City, by agency and site, that offer “Beacon Satellite at NYCHA Programs” after-school  programs.
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"jobs and economic mobility, education, services, youth, community, development, school, child, children, nycha, new york city housing authority, beacon satellite, beacon, lifelong learning"
Social Services,Bronx Hurricane Sandy Damaged Trees,Social-Services/Bronx-Hurricane-Sandy-Damaged-Trees/27w4-q2rz,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Pending Rodent Complaints (2010-present),Social-Services/Pending-Rodent-Complaints-2010-present-/6x9t-2tbx,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,WindyApps,http://data.cityofnewyork.us/api/users/7qqq-2dsp,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Bronx Restaurant DOHMH complaints,Social-Services/Bronx-Restaurant-DOHMH-complaints/7i95-xrat,311,All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Transportation,FHV Bases Map,Transportation/FHV-Bases-Map/uv9q-5hc5,Taxi and Limousine Commission (TLC),Click this link for use instructions : http://www.nyc.gov/html/tlc/downloads/pdf/open_data_instructions_base_finder.pdf,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"fhv bases, tlc, taxi, basefinder"
Public Safety,CCRB: Attribution of Complaints to Patrol Boroughs and Other Commands 2005 - 2009,Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Boroughs-/egiq-kmr5,Civilian Complaint Review Board (CCRB),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics"
Education,2008-09 Class Size - School-level Detail,Education/2008-09-Class-Size-School-level-Detail/6wcu-cfa3,Department of Education (DOE),"This file shows average class sizes and size of smallest and largest class for each school, broken out by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Math A, US History, etc.).

Official class size data for grades K-9* is based on October 31, 2008 Audited Registers; Core course class size data for MS CORE and grades 9-12 is based on January 23, 2009 active registers.
*Where ninth grade data is not reported by core course
- For middle schools using MSPA (ATS) or HSST to program, average class size is reported by core course, as well as by official class.														
- For high schools, sections with matching day, period, room and core subject, and combined enrollment less than 34 are assumed to be co-teaching situations.  In the report, duplicated sections are subtracted as ""MATCHED SECTIONS"" and paired sections are added back as ""ASSUMED TEAM TEACHING"".",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
City Government,Noise Violations,City-Government/Noise-Violations/3zfw-cprj,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",charles eppley,http://data.cityofnewyork.us/api/users/mqai-jymy,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
Social Services,ODRA SNAP Trends,Social-Services/ODRA-SNAP-Trends/5c4s-jwtq,Human Resources Administration (HRA),Monthly trend statistics on SNAP supplemental nutrition assistance program recipients.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,odra snap trends
City Government,Congressional Districts,City-Government/Congressional-Districts/qd3c-zuu7,Department of City Planning (DCP),GIS data: Boundaries of Congressional Districts,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"geographic, voting, location, map, cartography, district, congress, congressional, boundary, elect, election, congressional districts, dcp"
Education,DYCD after-school programs: NDA Family Literacy,Education/DYCD-after-school-programs-NDA-Family-Literacy/k3qa-jvkc,Department of Youth and Community Development (DYCD),"Facilities in New York City, by agency and site, that offer “NDA (Neighborhood Development Area) Reading and Writing Program” after-school  family literacy programs.  - Department of Youth and Community Development (DYCD).",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"jobs and economic mobility, education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, young adult, civics, literacy, english language program, adult literacy, nda, neighborhood, neighborhood development area, reading, writing, family, lifelong learning"
Social Services,311 DSNY Important Columns,Social-Services/311-DSNY-Important-Columns/saxc-u5zn,311,All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,Ben H Sacks,http://data.cityofnewyork.us/api/users/xgni-s9pb,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
,Homelssness,dataset/Homelssness/mpqm-87tb,NYC Department of Information Technology and Telecommunications,A listing of all available and planned datasets for use in feeding API calls and embedded lists on the NYC Open Data Compliance Plan Dashboard,Nell,http://data.cityofnewyork.us/api/users/izwm-ds5g,
Business,Consumer Services Complaint Mediation,Business/Consumer-Services-Complaint-Mediation/nre2-6m2s,Department of Consumer Affairs (DCA),Consumer complaints against businesses that were mediated by the Department of Consumer Affairs. List excludes cases that may have ongoing legal investigations. Business address information is not included for businesses if that address is likely to be a personal address.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaints, mediation, outcomes"
Business,TEA,Business/TEA/fw7y-458t,Department of Citywide Administrative Services (DCAS),List of civil service titles used by agencies throughout the City,Panamoka,http://data.cityofnewyork.us/api/users/qx67-mv2j,"civil, service, civil service, title"
Social Services,rats,Social-Services/rats/atwc-trzq,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Michelle,http://data.cityofnewyork.us/api/users/wf89-vwij,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
City Government,communitydistrictsny,City-Government/communitydistrictsny/a64w-at62,Department of City Planning (DCP),GIS data: Boundaries of Community Districts,ACTA,http://data.cityofnewyork.us/api/users/8pk9-wujv,
Education,2007-08 Class Size - School-level Detail,Education/2007-08-Class-Size-School-level-Detail/i8ys-e4pm,Department of Education (DOE),"This file shows average class sizes and the size of the smallest and largest class for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Math A, US History, etc.).
Data as of January 23, 2008
*Where ninth grade data is not reported by grade",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
,FHV Bases,dataset/FHV-Bases/yq6v-tnrn,Taxi and Limousine Commission (TLC),"Click this link for use instructions :  
http://www.nyc.gov/html/tlc/downloads/pdf/open_data_instructions_base_finder.pdf",kaptentransport,http://data.cityofnewyork.us/api/users/tagh-k5gw,
Social Services,ODRA Home Care Trends,Social-Services/ODRA-Home-Care-Trends/xjur-zbxw,Human Resources Administration (HRA),Monthly trend analysis on home care cases.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"odra home care trends, hra"
Social Services,CB7 Manhattan 2014 YTD 311 Requests by Type,Social-Services/CB7-Manhattan-2014-YTD-311-Requests-by-Type/urev-hwc7,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Chris Whong,http://data.cityofnewyork.us/api/users/xpic-k57b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
